matchday,penalty_taker,penalty_taker_position,penalty_taker_club,goalkeeper,score_before_penalty,minute,home_team,away_team,final_score,season,scored
34,Abdelaziz Ahanfouf,Mittelstürmer,MSV Duisburg,Dimo Wache,0:0,66',MSV Duisburg,1.FSV Mainz 05,0:0 ,2005/2006,0
34,Tim Borowski,Zentrales Mittelfeld,SV Werder Bremen,Sascha Kirschstein,1:2,83',Hamburger SV,SV Werder Bremen,1:2 ,2005/2006,0
1,Dorinel Munteanu,Zentrales Mittelfeld,VfL Wolfsburg,Daniel Hoffmann,0:0,5',VfL Wolfsburg,TSV 1860 München,2:1 ,1999/2000,0
1,Levan Kobiashvili,Linkes Mittelfeld,SC Freiburg,Dr. Philipp Laux,1:1,60',SSV Ulm 1846,SC Freiburg,1:1 ,1999/2000,0
2,Marco Bode,Linksaußen,SV Werder Bremen,Oliver Reck,0:1,65',SV Werder Bremen,FC Schalke 04,0:1 ,1999/2000,0
3,Adel Sellimi,Mittelstürmer,SC Freiburg,Daniel Hoffmann,1:0,44',SC Freiburg,TSV 1860 München,3:0 ,1999/2000,0
4,Michael Preetz,Mittelstürmer,Hertha BSC,Hans Jörg Butt,3:0,55',Hamburger SV,Hertha BSC,5:1 ,1999/2000,0
28,Ádám Szalai,Mittelstürmer,1.FSV Mainz 05,Raphael Schäfer,0:0,28',1.FC Nürnberg,1.FSV Mainz 05,2:1 ,2012/2013,0
5,Altin Rraklli,Mittelstürmer,SpVgg Unterhaching,Mathias Schober,0:0,12',FC Schalke 04,SpVgg Unterhaching,1:0 ,1999/2000,0
5,Adel Sellimi,Mittelstürmer,SC Freiburg,Martin Pieckenhagen,4:0,42',SC Freiburg,FC Hansa Rostock,5:0 ,1999/2000,0
5,Jan Aage Fjörtoft,Mittelstürmer,Eintracht Frankfurt,Oliver Kahn,1:0,52',Eintracht Frankfurt,FC Bayern München,1:2 ,1999/2000,0
6,Bruno Labbadia,Mittelstürmer,Arminia Bielefeld,Richard Golz,0:0,32',Arminia Bielefeld,SC Freiburg,2:1 ,1999/2000,0
7,Adel Sellimi,Mittelstürmer,SC Freiburg,Frank Rost,2:1,83',SC Freiburg,SV Werder Bremen,2:1 ,1999/2000,0
29,Jan-Ingwer Callsen-Bracker,Innenverteidiger,FC Augsburg,Oka Nikolov,1:0,32',FC Augsburg,Eintracht Frankfurt,2:0 ,2012/2013,0
29,Timmy Simons,Defensives Mittelfeld,1.FC Nürnberg,Tom Starke,3:0,47',FC Bayern München,1.FC Nürnberg,4:0 ,2012/2013,0
30,Michel Bastos,Linkes Mittelfeld,FC Schalke 04,Oka Nikolov,0:0,24',Eintracht Frankfurt,FC Schalke 04,1:0 ,2012/2013,0
30,Simon Rolfes,Defensives Mittelfeld,Bayer 04 Leverkusen,Koen Casteels,1:0,24',Bayer 04 Leverkusen,TSG 1899 Hoffenheim,5:0 ,2012/2013,0
32,Robert Lewandowski,Mittelstürmer,Borussia Dortmund,Manuel Neuer,1:1,60',Borussia Dortmund,FC Bayern München,1:1 ,2012/2013,0
32,Bernd Nehrig,Defensives Mittelfeld,SpVgg Greuther Fürth,Sven Ulreich,0:1,76',VfB Stuttgart,SpVgg Greuther Fürth,0:2 ,2012/2013,0
32,Sidney Sam,Rechtsaußen,Bayer 04 Leverkusen,Raphael Schäfer,0:2,81',1.FC Nürnberg,Bayer 04 Leverkusen,0:2 ,2012/2013,0
33,Nikola Djurdjic,Mittelstürmer,SpVgg Greuther Fürth,Oliver Baumann,1:2,90',SpVgg Greuther Fürth,SC Freiburg,1:2 ,2012/2013,0
34,Edgar Prib,Zentrales Mittelfeld,SpVgg Greuther Fürth,Alexander Manninger,0:0,5',FC Augsburg,SpVgg Greuther Fürth,3:1 ,2012/2013,0
31,Marco Reus,Offensives Mittelfeld,Borussia Dortmund,Ramazan Özcan,1:0,37',Borussia Dortmund,Bayer 04 Leverkusen,4:0 ,2017/2018,0
32,Lucas Alario,Mittelstürmer,Bayer 04 Leverkusen,Ron-Robert Zieler,0:0,17',Bayer 04 Leverkusen,VfB Stuttgart,0:1 ,2017/2018,0
